move_num,eval_before,eval_diff,board_piece_count,classification,player_elo
11,29,51,31,Mistake,1200
14,27,63,31,Mistake,1200
21,26,100,29,Mistake,1200
24,87,188,27,Blunder,1200
25,101,56,27,Mistake,1200
28,-28,67,27,Mistake,1200
30,-95,295,27,Blunder,1200
36,-362,50,26,Mistake,1200
41,568,55,23,Mistake,1200
11,29,51,31,Mistake,1200
14,27,63,31,Mistake,1200
26,-13,73,29,Mistake,1200
28,-138,88,27,Mistake,1200
29,232,218,27,Blunder,1200
32,-21,228,27,Blunder,1200
34,-273,56,27,Mistake,1200
36,-319,66,27,Mistake,1200
38,-374,68,27,Mistake,1200
40,-421,133,27,Mistake,1200
44,-718,173,27,Blunder,1200
45,847,386,27,Blunder,1200
47,595,779,27,Blunder,1200
3,35,96,32,Mistake,1200
10,72,78,31,Mistake,1200
13,-47,333,30,Blunder,1200
15,-380,112,29,Mistake,1200
17,-481,160,29,Blunder,1200
18,654,79,29,Mistake,1200
19,-573,117,29,Mistake,1200
21,-774,9215,29,Blunder,1200
16,32,59,32,Mistake,1200
33,65,85,28,Mistake,1200
34,-3,68,28,Mistake,1200
38,-37,62,28,Mistake,1200
40,-98,109,28,Mistake,1200
42,-202,59,28,Mistake,1200
43,251,126,28,Mistake,1200
47,205,112,28,Mistake,1200
48,-73,107,28,Mistake,1200
53,255,136,26,Mistake,1200
55,225,188,25,Blunder,1200
57,52,71,25,Mistake,1200
59,-5,97,24,Mistake,1200
60,153,94,23,Mistake,1200
61,-58,144,23,Mistake,1200
62,199,260,23,Blunder,1200
65,84,69,23,Mistake,1200
67,77,111,23,Mistake,1200
68,35,59,23,Mistake,1200
70,8,75,23,Mistake,1200
73,64,107,23,Mistake,1200
74,47,315,23,Blunder,1200
82,-227,89,20,Mistake,1200
88,-320,74,18,Mistake,1200
90,-385,70,18,Mistake,1200
92,-425,157,18,Blunder,1200
16,-31,62,30,Mistake,1200
17,94,57,30,Mistake,1200
18,-38,94,30,Mistake,1200
20,-142,78,28,Mistake,1200
23,256,64,28,Mistake,1200
27,222,92,28,Mistake,1200
28,-125,57,28,Mistake,1200
31,205,64,28,Mistake,1200
33,219,119,28,Mistake,1200
34,-98,62,28,Mistake,1200
36,-159,61,28,Mistake,1200
38,-196,67,28,Mistake,1200
40,-214,140,28,Mistake,1200
41,368,91,28,Mistake,1200
42,-276,109,28,Mistake,1200
43,374,57,28,Mistake,1200
44,-302,128,28,Mistake,1200
58,-384,59,24,Mistake,1200
60,-430,79,24,Mistake,1200
65,544,81,22,Mistake,1200
72,-518,139,22,Mistake,1200
73,667,88,22,Mistake,1200
74,-626,125,21,Mistake,1200
76,-799,9192,19,Blunder,1200
77,9991,9336,18,Blunder,1200
81,837,180,18,Blunder,1200
82,-671,582,18,Blunder,1200
91,898,189,16,Blunder,1200
29,80,116,28,Mistake,1200
30,47,66,27,Mistake,1200
32,15,69,26,Mistake,1200
33,48,59,26,Mistake,1200
42,20,145,26,Mistake,1200
44,35,129,26,Mistake,1200
45,79,208,26,Blunder,1200
46,142,65,26,Mistake,1200
47,-80,131,26,Mistake,1200
50,264,166,24,Blunder,1200
51,-122,205,24,Blunder,1200
43,-30,52,24,Mistake,1200
44,78,60,24,Mistake,1200
49,0,75,20,Mistake,1200
61,-34,67,19,Mistake,1200
62,108,64,19,Mistake,1200
66,83,64,19,Mistake,1200
85,-1,53,17,Mistake,1200
90,0,75,15,Mistake,1200
91,84,148,15,Mistake,1200
96,74,83,11,Mistake,1200
97,0,73,11,Mistake,1200
104,55,55,11,Mistake,1200
105,0,64,11,Mistake,1200
106,60,60,11,Mistake,1200
107,0,65,11,Mistake,1200
109,-25,86,11,Mistake,1200
111,-80,255,11,Blunder,1200
115,-431,54,11,Mistake,1200
127,-595,87,9,Mistake,1200
128,721,236,9,Blunder,1200
26,14,52,30,Mistake,1200
27,43,209,30,Blunder,1200
30,105,58,30,Mistake,1200
32,54,145,30,Mistake,1200
34,-106,116,30,Mistake,1200
42,-253,62,27,Mistake,1200
51,296,76,26,Mistake,1200
55,266,58,25,Mistake,1200
61,328,91,25,Mistake,1200
64,-267,116,23,Mistake,1200
73,431,93,18,Mistake,1200
80,-389,65,17,Mistake,1200
82,-471,97,17,Mistake,1200
83,576,143,17,Mistake,1200
88,-528,58,14,Mistake,1200
13,43,63,30,Mistake,1200
16,26,89,30,Mistake,1200
23,81,52,30,Mistake,1200
24,-31,55,30,Mistake,1200
28,-120,76,28,Mistake,1200
29,200,62,28,Mistake,1200
37,137,79,26,Mistake,1200
38,-68,65,26,Mistake,1200
42,-53,77,26,Mistake,1200
44,-119,55,26,Mistake,1200
45,147,113,26,Mistake,1200
46,-28,97,26,Mistake,1200
48,-86,51,26,Mistake,1200
50,-126,57,26,Mistake,1200
58,-194,105,23,Mistake,1200
62,-277,59,22,Mistake,1200
21,66,155,30,Blunder,1200
29,-137,183,27,Blunder,1200
42,472,65,21,Mistake,1200
43,-367,223,21,Blunder,1200
49,-452,229,20,Blunder,1200
52,688,53,18,Mistake,1200
53,-549,9448,18,Blunder,1200
21,90,50,32,Mistake,1200
22,-39,60,32,Mistake,1200
23,96,90,32,Mistake,1200
40,49,103,26,Mistake,1200
42,-77,69,26,Mistake,1200
43,149,191,26,Blunder,1200
59,24,59,24,Mistake,1200
62,0,56,24,Mistake,1200
76,-34,131,22,Mistake,1200
77,165,117,22,Mistake,1200
78,-46,172,22,Blunder,1200
91,261,101,18,Mistake,1200
92,-160,226,18,Blunder,1200
21,120,67,32,Mistake,1200
24,-47,57,32,Mistake,1200
25,114,93,32,Mistake,1200
30,-26,61,32,Mistake,1200
31,88,55,32,Mistake,1200
38,15,94,27,Mistake,1200
43,89,71,24,Mistake,1200
51,-6,61,24,Mistake,1200
53,-2,54,22,Mistake,1200
55,-46,51,22,Mistake,1200
57,-89,73,22,Mistake,1200
61,-170,61,22,Mistake,1200
64,214,74,22,Mistake,1200
65,-165,93,22,Mistake,1200
68,415,415,21,Blunder,1200
